0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
335982.0,70.16666666666667,0.0,85.25,24.101666666666667,37.45,0.0,22.92,15.941666666666668,21.673333333333332,22.888333333333335,19.419999999999998,25.906666666666666,0.0,22.41333333333333,24.581666666666663,23.463333333333335,18.413333333333334,0.0,22.884999999999998,16.695,18.86,34.65,79.46666666666667,0.0,76.98333333333332,24.46666666666667,34.233333333333334,0.0,31.0,19.866666666666667,21.85,22.25,28.333333333333332,31.933333333333334,0.0,29.066666666666666,25.7,27.566666666666666,24.8,0.0,21.066666666666666,16.31666666666667,25.733333333333334,28.25,7.9350000000000005,0.0,8.692499999999999,7.155,7.690000000000001,0.0,6.645,6.135,7.2725,7.4825,6.165000000000001,7.290000000000001,0.0,6.93,7.2075,6.44,6.675000000000001,0.0,7.75,7.935,6.6674999999999995,8.29
335983.0,27.08,24.346666666666668,0.0,20.976666666666667,23.146666666666665,20.711666666666666,0.0,20.766666666666666,27.468333333333334,26.026666666666667,32.29666666666667,0.0,23.866666666666664,27.633333333333336,17.666666666666668,31.78,30.854999999999997,30.453333333333333,24.99,15.719999999999999,18.580000000000002,18.883333333333333,33.0,24.433333333333334,0.0,21.75,25.0,19.71666666666667,0.0,19.93333333333333,27.616666666666667,29.333333333333332,26.883333333333333,0.0,22.599999999999998,26.2,21.0,31.06666666666667,28.083333333333336,34.53333333333333,21.21666666666667,20.533333333333335,23.53333333333333,22.5,7.38,7.255,0.0,7.3475,8.325,7.805,27.0,7.4475,7.0,7.965,8.510000000000002,0.0,9.495000000000001,7.24,7.5600000000000005,7.5525,7.625000000000001,7.92,8.115,6.87,7.08,6.0425
335984.0,24.0,24.19333333333333,18.44,27.36,0.0,21.106666666666666,23.41333333333333,20.166666666666664,23.35666666666667,18.483333333333334,15.100000000000001,19.533333333333335,31.001666666666665,23.409999999999997,20.38,18.473333333333333,26.891666666666666,12.0,0.0,16.406666666666666,19.02,20.68,24.666666666666668,28.2,20.133333333333333,27.53333333333333,0.0,28.133333333333336,28.400000000000002,25.516666666666666,22.950000000000003,16.46666666666667,16.166666666666668,21.133333333333333,28.2,22.78333333333333,23.53333333333333,24.666666666666668,27.333333333333336,16.8,0.0,23.133333333333336,23.2,20.4,8.745000000000001,13.855,8.235,8.925,0.0,6.735,7.41,5.91,7.285,9.06,7.7775,8.295,8.1525,7.605,7.785,6.720000000000001,7.109999999999999,6.42,0.0,6.375,7.3500000000000005,7.7575
335985.0,0.0,23.616666666666667,21.906666666666666,35.46666666666667,0.0,20.066666666666666,17.943333333333335,23.43,13.686666666666667,22.145,16.841666666666665,16.52,70.16666666666667,53.77333333333333,24.101666666666667,85.25,0.0,22.92,21.673333333333332,22.888333333333335,19.419999999999998,20.60333333333333,0.0,24.383333333333333,25.666666666666668,36.266666666666666,0.0,25.666666666666668,20.633333333333333,27.066666666666666,20.866666666666667,21.766666666666666,17.733333333333334,20.0,79.46666666666667,70.66666666666667,24.46666666666667,76.98333333333332,0.0,31.0,21.85,22.25,28.333333333333332,19.516666666666666,0.0,7.2475000000000005,7.665000000000001,8.790000000000001,0.0,7.02,6.547499999999999,6.355,5.88,7.615,6.9825,7.425000000000001,7.9350000000000005,6.84,7.155,8.692499999999999,0.0,6.645,7.2725,7.4825,6.165000000000001,7.595000000000001
335986.0,0.0,0.0,22.41333333333333,25.906666666666666,24.581666666666663,23.463333333333335,18.413333333333334,22.884999999999998,16.695,18.86,34.65,0.0,31.153333333333332,45.666666666666664,28.39333333333333,69.41,20.023333333333333,27.58,25.599999999999998,19.541666666666664,17.076666666666668,17.953333333333333,0.0,0.0,29.066666666666666,31.933333333333334,25.7,27.566666666666666,24.8,21.066666666666666,16.31666666666667,25.733333333333334,28.25,0.0,38.266666666666666,58.13333333333333,25.383333333333333,49.166666666666664,22.016666666666666,26.46666666666667,30.866666666666664,23.766666666666666,17.766666666666666,20.73333333333333,0.0,0.0,6.93,7.290000000000001,7.2075,6.44,6.675000000000001,7.75,7.935,6.6674999999999995,8.29,7.5,7.32,7.0649999999999995,8.09,8.81,6.8275,9.36,7.455,6.025,7.2524999999999995,6.672499999999999
335987.0,20.38,0.0,31.001666666666665,23.409999999999997,18.473333333333333,26.891666666666666,17.5,0.0,16.406666666666666,19.02,20.68,27.08,24.346666666666668,0.0,31.833333333333332,20.976666666666667,20.711666666666666,0.0,20.766666666666666,27.468333333333334,26.026666666666667,32.29666666666667,23.53333333333333,0.0,28.2,22.78333333333333,24.666666666666668,27.333333333333336,22.066666666666666,0.0,23.133333333333336,23.2,20.4,33.0,24.433333333333334,0.0,35.53333333333333,21.75,19.71666666666667,0.0,19.93333333333333,27.616666666666667,29.333333333333332,26.883333333333333,7.785,0.0,8.1525,7.605,6.720000000000001,7.109999999999999,7.125,0.0,6.375,7.3500000000000005,7.7575,7.38,7.255,0.0,8.0275,7.3475,7.805,0.0,7.4475,7.0,7.965,8.510000000000002
335988.0,0.0,31.153333333333332,45.666666666666664,28.39333333333333,69.41,23.493333333333332,25.599999999999998,27.58,19.541666666666664,17.076666666666668,17.953333333333333,24.0,24.19333333333333,18.44,22.553333333333335,0.0,27.36,21.106666666666666,23.35666666666667,24.159999999999997,16.44666666666667,15.100000000000001,0.0,38.266666666666666,58.13333333333333,25.383333333333333,49.166666666666664,25.65,30.866666666666664,26.46666666666667,23.766666666666666,17.766666666666666,20.73333333333333,24.666666666666668,28.2,20.133333333333333,24.133333333333333,0.0,27.53333333333333,28.133333333333336,22.950000000000003,24.016666666666666,19.066666666666666,16.166666666666668,7.5,7.32,7.0649999999999995,8.09,8.81,6.779999999999999,7.455,9.36,6.025,7.2524999999999995,6.672499999999999,8.745000000000001,13.855,8.235,6.9875,0.0,8.925,6.735,7.285,7.4725,7.74,7.7775
335989.0,0.0,23.866666666666664,27.633333333333336,31.78,17.666666666666668,30.854999999999997,30.453333333333333,24.99,15.719999999999999,18.580000000000002,18.883333333333333,0.0,23.616666666666667,35.46666666666667,17.943333333333335,23.346666666666668,20.066666666666666,13.686666666666667,23.43,22.145,24.666666666666668,16.841666666666665,0.0,22.599999999999998,26.2,31.06666666666667,21.0,28.083333333333336,34.53333333333333,21.21666666666667,20.533333333333335,23.53333333333333,22.5,0.0,24.383333333333333,36.266666666666666,20.633333333333333,20.566666666666666,25.666666666666668,20.866666666666667,27.066666666666666,21.766666666666666,40.0,17.733333333333334,0.0,9.495000000000001,7.24,7.5525,7.5600000000000005,7.625000000000001,7.92,8.115,6.87,7.08,6.0425,0.0,7.2475000000000005,8.790000000000001,6.547499999999999,8.145,7.02,5.88,6.355,7.615,5.550000000000001,6.9825
335990.0,0.0,45.666666666666664,23.493333333333332,28.39333333333333,69.41,27.58,25.599999999999998,19.541666666666664,17.076666666666668,17.953333333333333,21.086666666666666,0.0,25.473333333333333,31.001666666666665,23.409999999999997,20.38,26.891666666666666,16.406666666666666,0.0,17.5,19.02,20.68,0.0,58.13333333333333,25.65,25.383333333333333,49.166666666666664,26.46666666666667,30.866666666666664,23.766666666666666,17.766666666666666,20.73333333333333,24.0,0.0,27.866666666666664,28.2,22.78333333333333,23.53333333333333,27.333333333333336,23.133333333333336,0.0,22.066666666666666,23.2,20.4,7.5,7.0649999999999995,6.779999999999999,8.09,8.81,9.36,7.455,6.025,7.2524999999999995,6.672499999999999,7.89,0.0,11.2275,8.1525,7.605,7.785,7.109999999999999,6.375,0.0,7.125,7.3500000000000005,7.7575
335991.0,27.08,20.711666666666666,0.0,20.976666666666667,12.033333333333333,31.833333333333332,0.0,20.766666666666666,27.468333333333334,32.29666666666667,18.580000000000002,0.0,23.616666666666667,35.46666666666667,23.346666666666668,32.166666666666664,17.943333333333335,20.066666666666666,23.43,13.686666666666667,16.841666666666665,22.145,33.0,19.71666666666667,0.0,21.75,13.733333333333334,35.53333333333333,0.0,19.93333333333333,27.616666666666667,26.883333333333333,21.266666666666666,0.0,24.383333333333333,36.266666666666666,20.566666666666666,34.666666666666664,20.633333333333333,25.666666666666668,27.066666666666666,20.866666666666667,17.733333333333334,21.766666666666666,7.38,7.805,0.0,7.3475,6.4825,8.0275,0.0,7.4475,7.0,8.510000000000002,7.845000000000001,0.0,7.2475000000000005,8.790000000000001,8.145,8.34,6.547499999999999,7.02,6.355,5.88,6.9825,7.615
